Date & Time,Company Name,Percent Change
11:09 AM 02.06.2022,Illumina,1.98%
11:09 AM 02.06.2022,Incyte,-2.35%
11:09 AM 02.06.2022,Ingersoll Rand,1.60%
11:09 AM 02.06.2022,Intel,0.42%
11:09 AM 02.06.2022,The Hershey,-1.61%
11:13 AM 02.06.2022,MasterCard,1.15%
11:12 AM 02.06.2022,McCormick,-1.15%
11:13 AM 02.06.2022,McDonald's,-0.83%
11:13 AM 02.06.2022,McKesson,-1.92%
11:13 AM 02.06.2022,Medtronic,0.47%
11:13 AM 02.06.2022,Merck,-1.83%
11:13 AM 02.06.2022,Meta Platforms,3.16%
11:13 AM 02.06.2022,MetLife,-0.19%
11:03 AM 02.06.2022,Mettler-Toledo International,2.54%
11:13 AM 02.06.2022,MGM Resorts International,1.90%
11:13 AM 02.06.2022,Microchip Technology,1.46%
11:13 AM 02.06.2022,Micron Technology,1.20%
11:13 AM 02.06.2022,Microsoft,-1.43%
11:13 AM 02.06.2022,Mid-America Apartment Communities,-0.62%
11:13 AM 02.06.2022,Moderna,-5.67%
11:10 AM 02.06.2022,Mohawk Industries,0.10%
11:12 AM 02.06.2022,Molina Healthcare,-0.36%
11:13 AM 02.06.2022,Molson Coors Brewing Company,-2.35%
11:13 AM 02.06.2022,Mondelez,-1.14%
11:12 AM 02.06.2022,Monolithic Power Systems,2.88%
11:13 AM 02.06.2022,Monster Beverage,0.22%
11:12 AM 02.06.2022,Moody's,2.57%
11:13 AM 02.06.2022,Morgan Stanley,-0.41%
11:10 AM 02.06.2022,Motorola Solutions,0.48%
11:13 AM 02.06.2022,MSCI,2.59%
11:13 AM 02.06.2022,Nasdaq,0.58%
11:13 AM 02.06.2022,NetApp,0.74%
11:13 AM 02.06.2022,Netflix,3.49%
11:12 AM 02.06.2022,Newell Brands,-0.67%
11:13 AM 02.06.2022,Newmont Mining,2.30%
11:13 AM 02.06.2022,News b,3.68%
11:13 AM 02.06.2022,News,2.93%
11:13 AM 02.06.2022,NextEra Energy,1.21%
11:13 AM 02.06.2022,Nielsen Holdings,0.71%
11:13 AM 02.06.2022,Nike,2.00%
11:13 AM 02.06.2022,Nisource,-0.64%
11:12 AM 02.06.2022,Norfolk Southern,0.97%
11:10 AM 02.06.2022,Northern Trust,1.10%
11:12 AM 02.06.2022,Northrop Grumman,-1.64%
11:13 AM 02.06.2022,NortonLifeLock,0.84%
11:13 AM 02.06.2022,Norwegian Cruise Line,2.29%
11:13 AM 02.06.2022,NRG Energy,-0.20%
11:13 AM 02.06.2022,Nucor,1.09%
11:13 AM 02.06.2022,NVIDIA,4.99%
11:12 AM 02.06.2022,NVR,0.21%
11:13 AM 02.06.2022,NXP Semiconductors,1.13%
11:12 AM 02.06.2022,O Reilly Automotive,0.04%
11:13 AM 02.06.2022,The Mosaic,3.14%
11:10 AM 02.06.2022,Occidental Petroleum,-0.35%
11:07 AM 02.06.2022,Old Dominion Freight Line,2.98%
11:10 AM 02.06.2022,Omnicom Group,0.58%
11:10 AM 02.06.2022,ONEOK,0.00%
11:09 AM 02.06.2022,Oracle,0.05%
11:09 AM 02.06.2022,Organon & Company,-2.15%
11:10 AM 02.06.2022,Otis Worldwide Corporation Registered Shs When Issued,0.34%
11:10 AM 02.06.2022,Paccar,-0.05%
11:10 AM 02.06.2022,Packaging,0.09%
11:10 AM 02.06.2022,Parker Hannifin,0.90%
11:09 AM 02.06.2022,Paychex,1.10%
11:07 AM 02.06.2022,Paycom Software,5.65%
11:10 AM 02.06.2022,PayPal,2.90%
11:10 AM 02.06.2022,Penn National Gaming,4.86%
11:10 AM 02.06.2022,Pentair,1.91%
11:10 AM 02.06.2022,PepsiCo,-1.47%
11:09 AM 02.06.2022,PerkinElmer,1.94%
11:10 AM 02.06.2022,Pfizer,-1.69%
11:09 AM 02.06.2022,Philip Morris,-1.05%
11:10 AM 02.06.2022,Phillips 66,0.07%
11:08 AM 02.06.2022,Pinnacle West Capital,-0.49%
11:10 AM 02.06.2022,Pioneer Natural Resources,-0.58%
11:09 AM 02.06.2022,PNC Financial Services Group,0.51%
11:09 AM 02.06.2022,Pool,2.79%
11:09 AM 02.06.2022,PPG Industries,1.48%
11:09 AM 02.06.2022,PPL,-1.02%
11:09 AM 02.06.2022,Principal Financial Group,0.32%
11:10 AM 02.06.2022,Procter & Gamble,-0.92%
11:10 AM 02.06.2022,Progressive,0.02%
11:09 AM 02.06.2022,Prologis,0.97%
11:10 AM 02.06.2022,Prudential Financial,0.05%
11:08 AM 02.06.2022,PTC,0.89%
11:09 AM 02.06.2022,,-0.57%
11:10 AM 02.06.2022,,-0.75%
11:10 AM 02.06.2022,PulteGroup,-0.18%
11:09 AM 02.06.2022,PVH,2.14%
11:10 AM 02.06.2022,Qorvo,1.39%
11:10 AM 02.06.2022,QUALCOMM,2.07%
11:09 AM 02.06.2022,Quanta Services,1.75%
11:09 AM 02.06.2022,Quest Diagnostics,-0.62%
11:09 AM 02.06.2022,Ralph Lauren a,1.10%
11:10 AM 02.06.2022,Raymond James Financial,0.30%
11:10 AM 02.06.2022,Raytheon Technologies,-0.13%
11:10 AM 02.06.2022,Realty Income,-0.10%
11:09 AM 02.06.2022,Regency Centers,-0.27%
11:08 AM 02.06.2022,Regeneron Pharmaceuticals,-5.23%
11:10 AM 02.06.2022,Regions Financial,0.35%
11:10 AM 02.06.2022,Republic Services,-0.21%
11:08 AM 02.06.2022,ResMed,1.38%
11:10 AM 02.06.2022,ViacomCBS,-3.35%
11:11 AM 02.06.2022,Robert Half,2.51%
11:11 AM 02.06.2022,Rockwell Automation,0.03%
11:10 AM 02.06.2022,Rollins,-0.49%
11:11 AM 02.06.2022,Roper Industries,0.92%
11:11 AM 02.06.2022,Ross Stores,0.06%
11:11 AM 02.06.2022,Royal Caribbean Cruises,2.21%
11:11 AM 02.06.2022,S&P Global,2.38%
11:11 AM 02.06.2022,Salesforce,3.24%
11:11 AM 02.06.2022,SBA Communications REIT,-0.38%
11:11 AM 02.06.2022,Schlumberger,-0.43%
11:11 AM 02.06.2022,Seagate Technology Holdings,1.56%
11:11 AM 02.06.2022,Sealed Air,0.49%
11:10 AM 02.06.2022,Sempra Energy,-1.30%
11:11 AM 02.06.2022,ServiceNow,4.86%
11:11 AM 02.06.2022,Sherwin-Williams,0.80%
11:11 AM 02.06.2022,Simon Property Group,-0.07%
11:11 AM 02.06.2022,Skyworks Solutions,2.12%
11:10 AM 02.06.2022,Snap-On,0.94%
11:11 AM 02.06.2022,Southern,-0.92%
11:11 AM 02.06.2022,Southwest Airlines,-0.36%
11:11 AM 02.06.2022,Stanley Black & Decker,1.31%
11:11 AM 02.06.2022,Starbucks,0.59%
11:11 AM 02.06.2022,State Street,2.17%
11:11 AM 02.06.2022,STERIS,0.78%
11:11 AM 02.06.2022,Stryker,0.54%
11:11 AM 02.06.2022,SVB Financial Group Shs,1.73%
11:11 AM 02.06.2022,Synchrony Financial,0.42%
11:11 AM 02.06.2022,Synopsys,3.51%
11:11 AM 02.06.2022,Sysco,-0.01%
11:11 AM 02.06.2022,T. Rowe Price Group,1.03%
11:11 AM 02.06.2022,Take Two,1.04%
11:11 AM 02.06.2022,Tapestry,1.71%
11:11 AM 02.06.2022,Target,0.56%
11:11 AM 02.06.2022,TE Connectivity,1.31%
11:10 AM 02.06.2022,Teledyne Technologies,1.75%
11:11 AM 02.06.2022,Teleflex,1.01%
11:11 AM 02.06.2022,Teradyne,2.32%
11:11 AM 02.06.2022,Tesla,4.74%
11:11 AM 02.06.2022,Texas Instruments,-0.25%
11:10 AM 02.06.2022,Textron,1.20%
11:11 AM 02.06.2022,The Kraft Heinz Company,-6.36%
11:11 AM 02.06.2022,Thermo Fisher Scientific,0.74%
11:11 AM 02.06.2022,TJX Cos,1.22%
11:11 AM 02.06.2022,T-Mobile US,0.30%
11:11 AM 02.06.2022,Tractor Supply,1.71%
11:11 AM 02.06.2022,Trane Technologies,1.29%
11:10 AM 02.06.2022,TransDigm Group,1.28%
11:11 AM 02.06.2022,Travelers,0.17%
11:10 AM 02.06.2022,Grainger,0.69%
11:10 AM 02.06.2022,Trimble Navigation,2.97%
11:10 AM 02.06.2022,Truist Financial Corporation,0.79%
11:10 AM 02.06.2022,Twitter,1.45%
